,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_bev,vehicle_split_ffv,vehicle_split_sidi,county,state
163,Jack_TX,240624405000.0,27073290.8,585590065.0,20378938.8,86468.0002,9.0,0.0,91.0,Jack,TX
164,Jackson_MN,1468705220000.0,118058950.7,2191449540.0,89282511.7,330607.002,28.6,12.1,59.2,Jackson_MN,MN
165,Jackson_TX,477959509000.0,40092120.9,1001920860.0,29760074.9,159123.0,52.3,20.1,27.5,Jackson_TX,TX
166,Jasper_TX,28621284000.0,3479383.3,74072111.0,2656017.8,10785.0,0.0,0.0,100.0,Jasper,TX
167,Jeff Davis_TX,7960594900.0,629418.34,13399600.0,480472.02,1951.0,0.0,0.0,100.0,Jeff Davis,TX
168,Jefferson_TX,36222416000.0,2124932.0,43924205.0,1622085.5,6386.0,0.0,0.0,100.0,Jefferson,TX
169,Jim Hogg_TX,126519476000.0,19608354.4,299387266.0,15140196.9,42743.9997,0.0,12.4,87.6,Jim Hogg,TX
170,Jim Wells_TX,59441495800.0,11462277.24,168530016.7,8725640.042,24152.9999,4.4,0.0,95.6,Jim Wells,TX
171,Johnson_TX,149340674000.0,22382685.5,399287713.0,17107085.11,59376.9994,20.7,15.5,63.8,Johnson,TX
172,Jones_TX,78953229400.0,20713874.86,307685600.0,15834354.26,44035.9997,3.0,3.7,93.3,Jones,TX
173,Kanabec_MN,144483410000.0,11423833.0,163893650.0,8720483.2,23294.0,0.0,0.0,100.0,Kanabec,MN
174,Kandiyohi_MN,41850379000.0,8210113.6,117787570.0,6267262.3,16741.0,0.0,0.0,100.0,Kandiyohi,MN
175,Karnes_TX,1219445760000.0,96891109.0,2140697670.0,71531693.8,321872.999,20.4,0.0,79.6,Karnes,TX
176,Kaufman_TX,71933291830.0,5681644.477999999,121291319.6,4326673.92,17703.999949999998,1.6,0.0,98.4,Kaufman,TX
